Product_name,Brand,Item_id,Swiper_count,Price
Teint IdÃ´le Ultra Wear All Over Concealer,LancÃ´me,2583109,11,$29.00
Hy-Glam Concealer,NATASHA DENONA,2608808,11,$30.00
Shape Tape Radiant Medium Coverage Concealer,Tarte,2610339,11,$32.00
Travel Size Shape Tape Ultra Creamy Concealer,Tarte,2575553,11,$15.00
Bye Bye Dark Spots Concealer + Serum,IT Cosmetics,2607706,10,$30.00
ORIGINAL Liquid Mineral ConcealerÂ,bareMinerals,2600322,8,$30.00
Forever Skin Correct Concealer,Dior,2605025,7,$40.00
Instant Age Rewind Instant Perfector 4-In-1 Glow Makeup,Maybelline,2596456,6,$13.99
I Am Magic Concealer,Juvia's Place,2551099,3,$14.00
Beyond Perfecting Powder Foundation + Concealer,Clinique,2291649,5,$28.00
Pro Filt'r Instant Retouch Concealer,FENTY BEAUTY by Rihanna,2592634,8,$30.00
Fit Me Natural Finish Concealer,Maybelline,2225219,7,$8.99
4-In-1 Love Your Selfie Longwear Foundation & Concealer,PÃR,2544510,8,$38.00
Infallible Full Wear Waterproof Concealer,L'OrÃ©al,2538192,6,$14.99
Boi-ing Industrial Strength Full Coverage Cream Concealer,Benefit Cosmetics,2509410,6,$24.00
Maracuja Creaseless Concealer,Tarte,2529984,11,$30.00
Magic Touch Medium to Full Coverage Concealer,Anastasia Beverly Hills,2584697,9,$29.00
HD Pro Corrector Concealer,L.A. Girl,2505288,2,$5.49
Filter Effect Soft Radiance Concealer,Morphe,2593388,6,$12.00
Well-Rested Eye Brightener Broad Spectrum SPF 20,bareMinerals,2124551,3,$27.00
Can't Stop Won't Stop 24HR Full Coverage Matte Concealer,NYX Professional Makeup,2538474,7,$9.50
16HR Camo Concealer,e.l.f. Cosmetics,2538873,5,$7.00
Bye Bye Redness Neutralizing Color-Correcting Concealer Cream,IT Cosmetics,2514627,7,$38.00
Conceal + Perfect 2-in-1 Foundation + Concealer,Milani,2519968,8,$8.39
Peeper Perfect Under-Eye Concealer,Winky Lux,2590489,6,$12.60
Nudies Tinted Blur Foundation Stick,NUDESTIX,2526852,10,$32.00
Skin Concealer Stick,BOBBI BROWN,2595312,8,$24.75
Care and Glow Hydrating Serum Concealer,LancÃ´me,2615607,9,$29.00
Colored Clay CC Undereye Corrector,Tarte,2276028,9,$30.00
LES BEIGES Water-Fresh Complexion Touch,CHANEL,2595874,2,$70.00
Beautiful Skin Medium to Full Coverage Radiant Concealer,Charlotte Tilbury,2619466,9,$33.00
Quickie 24HR Full-Coverage Waterproof Concealer,Urban Decay Cosmetics,2603341,10,$23.10
Pretty Fresh Hyaluronic Creamy Concealer,ColourPop,2561429,7,$9.00
Studio Fix Every-Wear All-Over Face Concealer Pen,MAC,2611018,8,$28.00
Conceal + Perfect Longwear Concealer,Milani,2546823,9,$7.69
Quick Fix Concealer Stick,Dermablend,2208888,6,$20.30
Travel Size Vanish Airbrush Concealer,HOURGLASS,2578997,10,$18.00
Skin Fetish: Sublime Perfection Blurring Under Eye Powder,PAT McGRATH LABS,2613832,5,$35.00
4-in-1 Sculpting Brightening Concealer,PÃR,2576925,9,$24.00
Real Flawless Weightless Perfecting Serum Concealer,Laura Mercier,2619193,11,$33.00
LE CORRECTEUR DE CHANEL Longwear Concealer,CHANEL,2585123,3,$45.00
Skin Full Coverage Longwear Concealer,BOBBI BROWN,2597153,9,$26.25
HUESKIN Serum Concealer,Live Tinted,2614727,7,$26.00
MegaGlo Makeup Stick Contour,Wet n Wild,2518198,2,$4.49
True Match Radiant Serum Concealer,L'OrÃ©al,2617261,6,$15.99
